Block Height(feet),Flow Out(%),Hookload(klbf),Top Drive Speed(RPM),Strokes Per Minute #1,Strokes Per Minute #2,Standpipe Pressure (psi),Top Drive Torque (ftlb),Rig State Code,Bit Depth(ft)
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34.4,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.5,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.7,0,0,0,0.29,0,0,3000
44.34,0,33.6,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,33.7,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.7,0,0,0,0.29,0,0,3000
44.34,0,34.9,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.7,0,0,0,0.29,0,0,3000
44.34,0,35,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.7,0,0,0,0.29,0,0,3000
44.34,0,33.6,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,33.7,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.4,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.7,0,0,0,0.29,0,0,3000
44.34,0,33.6,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0.2,0,0,0.29,0,0,3000
44.34,0,34.1,0.3,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.4,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0.2,0,0,0.29,0,0,3000
44.34,0,34.1,0.3,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.4,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,35,0,0,0,0.29,0,0,3000
44.34,0,35.3,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.7,0,0,0,0.29,0,0,3000
44.34,0,34.8,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.8,0,0,0,0.29,0,0,3000
44.34,0,35.1,0.2,0,0,0.29,0,0,3000
44.34,0,34.3,0.3,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.3,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.9,0,0,0,0.29,0,0,3000
44.34,0,34.4,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,33.9,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.9,0.2,0,0,0.29,0,0,3000
44.34,0,33.9,0.3,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,34,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,33.8,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.6,0,0,0,0.29,0,0,3000
44.34,0,34.8,0,0,0,0.29,0,0,3000
44.34,0,34.2,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.1,0,0,0,0.29,0,0,3000
44.34,0,34.4,0,0,0,0.29,0,0,3000
44.34,0,34.5,0,0,0,0.29,0,0,3000
